"","GK1","GK2","DEF1","DEF2","DEF3","DEF4","DEF5","MID1","MID2","MID3","MID4","MID5","FWD1","FWD2","FWD3","Points","Cost","OK"
"Player463","Patrício","Ryan","Robertson","O'Connell","Gomez","Baldock","Webster","Lundstram","Traoré","Son","De Bruyne","Ward-Prowse","Abraham","Rodriguez","Martial",2167,98.5,TRUE
"Player115","Ryan","McCarthy","Söyüncü","Doherty","Wan-Bissaka","Walker","van Dijk","Tielemans","Son","Mahrez","Pérez","Lundstram","Abraham","Ings","Wood",2166,97,TRUE
"Player601","Pope","Ryan","Wan-Bissaka","Diop","O'Connell","Alexander-Arnold","Stevens","Son","Jota","Pérez","Mahrez","Snodgrass","Martial","Ayew","Ings",2166,98,TRUE
"Player578","Dubravka","Ederson","Evans","Chilwell","Doherty","Webster","Alexander-Arnold","Armstrong","Salah","Lundstram","Mount","El Ghazi","Wood","Ayew","Vardy",2166,98.5,TRUE
"Player796","Patrício","Pope","Doherty","Alexander-Arnold","Basham","Evans","Robertson","Fleck","Traoré","Saint-Maximin","Salah","Barnes","Adams","Wood","Maupay",2166,98,TRUE
"Player973","Lloris","Schmeichel","Diop","Doherty","Robertson","Söyüncü","Digne","De Bruyne","Lundstram","Barnes","Ward-Prowse","Westwood","Firmino","Ings","Ayew",2166,99.5,TRUE
"Player492","Schmeichel","Dubravka","Doherty","Saïss","Digne","Wan-Bissaka","Alexander-Arnold","Harry Wilson","Greenwood","De Bruyne","Pérez","Neves","Vardy","Calvert-Lewin","Ayew",2165,100,TRUE
"Player927","Pope","Schmeichel","Egan","Baldock","van Dijk","Pieters","Doherty","De Bruyne","Jorginho","Bernardo Silva","Pérez","Pulisic","Maupay","McBurnie","Vardy",2165,100,TRUE
"Player820","Arrizabalaga","Pope","Walker","Robertson","van Dijk","Alexander-Arnold","Baldock","Alli","Westwood","Trézéguet","Rice","Mahrez","Martial","Maupay","Wood",2165,97.5,TRUE
"Player851","Guaita","Henderson","Robertson","Alexander-Arnold","Lindelöf","Jonny","O'Connell","Dendoncker","Salah","Pröpper","Traoré","McArthur","Ings","Vardy","McBurnie",2165,99,TRUE
"Player139","de Gea","Guaita","Lascelles","Alexander-Arnold","van Dijk","Aurier","Coady","Mooy","Grealish","Zaha","Sterling","Shelvey","Martial","Ings","Calvert-Lewin",2165,100,TRUE
"Player809","Dubravka","Pickford","Doherty","Maguire","Ward","Alexander-Arnold","Jonny","McTominay","Jorginho","Bernardo Silva","Mooy","De Bruyne","Martial","Ings","Jiménez",2165,99,TRUE
"Player377","Schmeichel","Pope","Doherty","Basham","Stevens","Alexander-Arnold","Robertson","Ndidi","Lucas Moura","Fleck","Mooy","Snodgrass","Martial","Ings","Richarlison",2165,96.5,TRUE
"Player733","Leno","Dubravka","Keane","Wan-Bissaka","Maguire","Doherty","Robertson","Noble","De Bruyne","Grealish","Henderson","Zaha","Wood","Vardy","Ayew",2164,97.5,TRUE
"Player933","Pope","Schmeichel","Wan-Bissaka","Alderweireld","Alexander-Arnold","Stevens","Azpilicueta","Redmond","Jorginho","Bernardo Silva","Barnes","Lundstram","Ings","Ayew","Vardy",2164,97,TRUE
"Player278","Ryan","Patrício","Doherty","Egan","Robertson","Stevens","David Luiz","De Bruyne","Pulisic","Douglas Luiz","Fleck","Moutinho","Abraham","Ings","Calvert-Lewin",2164,98.5,TRUE
"Player747","Pope","McCarthy","van Aanholt","Robertson","Jonny","Stevens","Doherty","Grealish","De Bruyne","Hourihane","Hayden","Alli","Jiménez","Richarlison","Wood",2164,100,TRUE
"Player121","Henderson","Dubravka","Alexander-Arnold","van Dijk","Ward","Maguire","Coady","Barnes","Traoré","Sterling","Grealish","Ritchie","Richarlison","Rodriguez","Martial",2164,99.5,TRUE
"Player125","Patrício","Ryan","Alexander-Arnold","Wan-Bissaka","van Dijk","Walker","Baldock","Salah","McGinn","Douglas Luiz","Redmond","Ward-Prowse","Abraham","Vardy","Antonio",2164,100,TRUE
"Player931","Ryan","Pickford","Mee","Söyüncü","Stevens","Wan-Bissaka","Robertson","Lundstram","Son","Pérez","Kouyaté","Mahrez","Maupay","Martial","Ings",2163,96.5,TRUE
"Player460","Pope","Dubravka","Stevens","Doherty","Coady","Stephens","Robertson","McNeil","Mané","Grealish","Højbjerg","Douglas Luiz","Ings","Richarlison","Wood",2163,97,TRUE
"Player628","Ryan","Schmeichel","Alexander-Arnold","van Dijk","Maguire","Mee","Wan-Bissaka","Tielemans","Kouyaté","Sterling","Saint-Maximin","Mahrez","McBurnie","Martial","Richarlison",2163,100,TRUE
"Player538","Ryan","Henderson","Jonny","Cresswell","Alexander-Arnold","Robertson","Söyüncü","Mahrez","Groß","Wijnaldum","Westwood","Grealish","Jiménez","Calvert-Lewin","Vardy",2163,98.5,TRUE
"Player102","Pope","Alisson","Dunk","Ogbonna","van Dijk","Basham","Taylor","Rice","Mané","Traoré","Tielemans","Dendoncker","Jiménez","Vardy","Martial",2163,100,TRUE
"Player71","Dubravka","Schmeichel","Alexander-Arnold","Chilwell","Lindelöf","Tarkowski","Saïss","Grealish","Mané","McNeil","Jorginho","Almirón","Jiménez","Kane","Ayew",2163,100,TRUE
"Player540","Schmeichel","Pope","Maguire","Pereira","Walker","van Dijk","Robertson","Lundstram","Wijnaldum","De Bruyne","Son","Jota","Antonio","Adams","Abraham",2163,100,TRUE
"Player966","Patrício","Pope","van Dijk","Jonny","Wan-Bissaka","van Aanholt","Webster","Son","Moutinho","Mané","Norwood","Trézéguet","Ings","Richarlison","Abraham",2163,99.5,TRUE
"Player109","Pope","Patrício","Otamendi","Alexander-Arnold","Evans","van Aanholt","Azpilicueta","Rashford","Moutinho","Jorginho","Rice","De Bruyne","Maupay","Haller","Vardy",2163,100,TRUE
"Player915","Pope","Patrício","Doherty","van Aanholt","Stevens","Lindelöf","Tarkowski","Alli","Lundstram","Mané","Pröpper","Maddison","Jiménez","Ings","McBurnie",2163,99,TRUE
"Player253","Dubravka","McCarthy","Azpilicueta","Pieters","Basham","Alexander-Arnold","Doherty","Traoré","McNeil","Sterling","El Ghazi","Trézéguet","Ings","Vardy","Abraham",2163,100,TRUE
"Player812","Dubravka","Pope","van Dijk","Alexander-Arnold","Coady","Ward","Chilwell","Jota","Dendoncker","Sterling","James","Wijnaldum","Ayew","Vardy","Martial",2163,99.5,TRUE
"Player275","Henderson","Ryan","Alexander-Arnold","Stevens","Doherty","Ogbonna","Ward","Son","Neves","Lundstram","Trézéguet","Mané","Abraham","Antonio","Ings",2163,98.5,TRUE
"Player101","Henderson","Pickford","van Dijk","Egan","Evans","Lindelöf","Dunk","Bernardo Silva","Douglas Luiz","Sterling","Mahrez","McGinn","Wood","Martial","Ings",2163,99.5,TRUE
"Player435","Leno","Guaita","Baldock","Pereira","Doherty","Walker","Evans","Barnes","Henderson","Traoré","Grealish","Ward-Prowse","Ings","Jiménez","Martial",2162,97,TRUE
"Player475","Guaita","Pope","Lascelles","Doherty","Alexander-Arnold","Dunk","Cresswell","Chamberlain","Henderson","McNeil","Sterling","Lundstram","Jiménez","Vardy","Maupay",2162,98.5,TRUE
"Player693","Henderson","Ryan","Alexander-Arnold","Baldock","Mee","Aurier","Dunk","Pépé","Fleck","Son","Henderson","Norwood","Firmino","Vardy","Ings",2162,100,TRUE
"Player967","Guaita","Pope","Doherty","O'Connell","Walker","Azpilicueta","Alexander-Arnold","Westwood","Dendoncker","Henderson","Rashford","Sterling","Ayew","Joelinton","Ings",2162,98.5,TRUE
"Player996","de Gea","Pope","Robertson","O'Connell","Maguire","Chilwell","Evans","Norwood","Sigurdsson","Saint-Maximin","Salah","McNeil","Martial","Ings","Abraham",2162,100,TRUE
"Player755","Henderson","Dubravka","Azpilicueta","Walker","David Luiz","Alexander-Arnold","Evans","Tielemans","Lundstram","Pérez","De Bruyne","McArthur","Martial","Lacazette","Ayew",2162,100,TRUE
"Player832","Dubravka","Leno","Basham","Mee","Stevens","Ogbonna","Alexander-Arnold","Rice","Grealish","Dendoncker","De Bruyne","Pépé","Richarlison","Vardy","Abraham",2162,100,TRUE
"Player627","de Gea","Patrício","Evans","Mendy","Alexander-Arnold","Mings","Taylor","Saint-Maximin","Mahrez","Rice","Traoré","De Bruyne","Ayew","Martial","Jiménez",2161,100,TRUE
"Player96","Patrício","Dubravka","O'Connell","van Dijk","Walker","Lindelöf","Alexander-Arnold","Pröpper","Mahrez","Fleck","Dendoncker","Mané","Maupay","Wood","Jiménez",2161,98.5,TRUE
"Player849","Guaita","Patrício","Baldock","Evans","Mings","Söyüncü","Egan","Greenwood","El Ghazi","De Bruyne","McNeil","Grealish","Ings","Vardy","Maupay",2161,100,TRUE
